medicineName,price,mrp,discount,stock,batchNumber,expiryDate
Dolo 650,26,32,18,150,BLK-001,2027-03-15
Crocin 500,20,26,23,200,BLK-002,2027-06-01
Azithromycin 500,72,90,20,60,BLK-003,2026-12-30
Amoxicillin 500,48,65,26,100,BLK-004,2027-01-20
Cetirizine 10mg,28,38,26,300,BLK-005,2027-09-10
Metformin 500,16,25,36,250,BLK-006,2027-04-01
Amlodipine 5mg,32,42,24,80,BLK-007,2027-07-15
Omeprazole 20mg,45,60,25,90,BLK-008,2026-11-30
Montelukast 10mg,120,145,17,70,BLK-009,2027-08-20
Ibuprofen 400mg,15,22,32,180,BLK-010,2027-02-28
Pantoprazole 40mg,55,70,21,110,BLK-011,2027-05-15
Paracetamol 500mg (Generic),7,12,42,500,BLK-012,2027-10-01
